setting,dataset,num_samples,num_components,random_seed,skellam_mu,sigma,b,clipping_norm,q_f,q_clean,q_a
fl,iris,150,250,0,29.4,10000,6.0,1.0,0.933885619044303,0.9338856190443038,0.9998652852832496
fl,iris,150,500,0,29.4,10000,6.0,1.0,0.933885619044303,0.9338856190443038,0.9998652852832496
fl,iris,150,1000,0,29.4,10000,6.0,1.0,0.933885619044303,0.9338856190443038,0.9998652852832496
fl,ca_income,195665,100,0,106.1,10000,6.0,1.0,0.4862718277596147,0.48630057394686166,0.9997211202535148
local,ca_income,195665,500,0,7,13.285,6,1.0,0.612521126758914,0.9512922096686961,0.013113894716956988
fl,ca_income,195665,125,0,106.1,10000,6.0,1.0,0.5541179051493885,0.5541624613800046,0.9997211202535148
local,ca_income,195665,1000,0,7,13.285,6,1.0,1.000000040102184,1.0000000401021845,0.013113894716956988
fl,iris,150,10,0,8.19,10000,6.0,1.0,0.9338856190443041,0.9338856190443038,0.9998636259827072
fl,iris,150,25,0,8.19,10000,6.0,1.0,0.9338856190443041,0.9338856190443038,0.9998636259827072
fl,iris,150,50,0,8.19,10000,6.0,1.0,0.9338856190443041,0.9338856190443038,0.9998636259827072
fl,iris,150,100,0,8.19,10000,6.0,1.0,0.9338856190443041,0.9338856190443038,0.9998636259827072
fl,iris,150,125,0,8.19,10000,6.0,1.0,0.9338856190443041,0.9338856190443038,0.9998636259827072
fl,iris,150,250,0,8.19,10000,6.0,1.0,0.9338856190443041,0.9338856190443038,0.9998636259827072
fl,iris,150,500,0,8.19,10000,6.0,1.0,0.9338856190443041,0.9338856190443038,0.9998636259827072
fl,iris,150,1000,0,8.19,10000,6.0,1.0,0.9338856190443041,0.9338856190443038,0.9998636259827072
fl,ca_income,195665,250,0,106.1,10000,6.0,1.0,0.7721629079140551,0.7723074729978476,0.9997211202535148
local,iris,150,10,0,7,25.077,6,1.0,0.9338856190443039,0.9338856190443038,0.8347737528534962
local,iris,150,25,0,7,25.077,6,1.0,0.9338856190443039,0.9338856190443038,0.8347737528534962
local,iris,150,50,0,7,25.077,6,1.0,0.9338856190443039,0.9338856190443038,0.8347737528534962
local,iris,150,100,0,7,25.077,6,1.0,0.9338856190443039,0.9338856190443038,0.8347737528534962
local,iris,150,125,0,7,25.077,6,1.0,0.9338856190443039,0.9338856190443038,0.8347737528534962
local,iris,150,250,0,7,25.077,6,1.0,0.9338856190443039,0.9338856190443038,0.8347737528534962
local,iris,150,500,0,7,25.077,6,1.0,0.9338856190443039,0.9338856190443038,0.8347737528534962
local,iris,150,1000,0,7,25.077,6,1.0,0.9338856190443039,0.9338856190443038,0.8347737528534962
fl,ca_income,195665,500,0,106.1,10000,6.0,1.0,0.9509091643911776,0.9512922096686961,0.9997211202535148
fl,iris,150,10,0,2.32,10000,6.0,1.0,0.9338856190443032,0.9338856190443038,0.9998587190621288
fl,iris,150,25,0,2.32,10000,6.0,1.0,0.9338856190443032,0.9338856190443038,0.9998587190621288
fl,iris,150,50,0,2.32,10000,6.0,1.0,0.9338856190443032,0.9338856190443038,0.9998587190621288
fl,iris,150,100,0,2.32,10000,6.0,1.0,0.9338856190443032,0.9338856190443038,0.9998587190621288
fl,iris,150,125,0,2.32,10000,6.0,1.0,0.9338856190443032,0.9338856190443038,0.9998587190621288
fl,iris,150,250,0,2.32,10000,6.0,1.0,0.9338856190443032,0.9338856190443038,0.9998587190621288
fl,iris,150,500,0,2.32,10000,6.0,1.0,0.9338856190443032,0.9338856190443038,0.9998587190621288
fl,iris,150,1000,0,2.32,10000,6.0,1.0,0.9338856190443032,0.9338856190443038,0.9998587190621288
fl,ca_income,195665,1000,0,106.1,10000,6.0,1.0,1.0000000401021842,1.0000000401021845,0.9997211202535148
centralized,ca_income,195665,10,0,7,13.285,6,1.0,0.0985011049919562,0.10306451053062196,0.9930135228920396
centralized,iris,150,10,0,7,25.077,6,1.0,0.9338856190443038,0.9338856190443038,0.9480404921992546
centralized,iris,150,25,0,7,25.077,6,1.0,0.9338856190443038,0.9338856190443038,0.9480404921992546
centralized,iris,150,50,0,7,25.077,6,1.0,0.9338856190443038,0.9338856190443038,0.9480404921992546
centralized,iris,150,100,0,7,25.077,6,1.0,0.9338856190443038,0.9338856190443038,0.9480404921992546
centralized,iris,150,125,0,7,25.077,6,1.0,0.9338856190443038,0.9338856190443038,0.9480404921992546
centralized,iris,150,250,0,7,25.077,6,1.0,0.9338856190443038,0.9338856190443038,0.9480404921992546
